0.01,0.25
0.02,0.255
0.03,0.258
0.04,0.259
0.05,0.259
0.06,0.263
0.07,0.265
0.08,0.266
0.09,0.268
0.1,0.27
0.11,0.273
0.12,0.271
0.13,0.271
0.14,0.274
0.15,0.276
0.16,0.273
0.17,0.276
0.18,0.276
0.19,0.277
0.2,0.274
0.21,0.273
0.22,0.273
0.23,0.273
0.24,0.272
0.25,0.271
0.26,0.269
0.27,0.265
0.28,0.264
0.29,0.259
0.3,0.253
0.31,0.249
0.32,0.244
0.33,0.24
0.34,0.23
0.35,0.224
0.36,0.214
0.37,0.206
0.38,0.19
0.39,0.174
0.4,0.161
0.41,0.142
0.42,0.126
0.43,0.104
0.44,0.079
0.45,0.063
0.46,0.043
0.47,0.029
0.48,0.011
0.49,0.004
0.5,0
